"","string","filename","name"
"44","Brachyteles arachnoides_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Brachyteles arachnoides_aoh.tif","Brachyteles arachnoides"
"45","Brachyteles hypoxanthus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Brachyteles hypoxanthus_aoh.tif","Brachyteles hypoxanthus"
"46","Bradypus torquatus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Bradypus torquatus_aoh.tif","Bradypus torquatus"
"47","Cacajao calvus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cacajao calvus_aoh.tif","Cacajao calvus"
"48","Cacajao hosomi_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cacajao hosomi_aoh.tif","Cacajao hosomi"
"49","Caenolestes caniventer_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Caenolestes caniventer_aoh.tif","Caenolestes caniventer"
"50","Caenolestes condorensis_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Caenolestes condorensis_aoh.tif","Caenolestes condorensis"
"51","Caenolestes convelatus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Caenolestes convelatus_aoh.tif","Caenolestes convelatus"
"52","Caenolestes sangay_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Caenolestes sangay_aoh.tif","Caenolestes sangay"
"53","Callicebus barbarabrownae_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callicebus barbarabrownae_aoh.tif","Callicebus barbarabrownae"
"54","Callicebus coimbrai_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callicebus coimbrai_aoh.tif","Callicebus coimbrai"
"55","Callicebus melanochir_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callicebus melanochir_aoh.tif","Callicebus melanochir"
"56","Callicebus nigrifrons_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callicebus nigrifrons_aoh.tif","Callicebus nigrifrons"
"57","Callicebus personatus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callicebus personatus_aoh.tif","Callicebus personatus"
"58","Callimico goeldii_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callimico goeldii_aoh.tif","Callimico goeldii"
"59","Callistomys pictus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callistomys pictus_aoh.tif","Callistomys pictus"
"60","Callithrix aurita_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callithrix aurita_aoh.tif","Callithrix aurita"
"61","Callithrix flaviceps_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callithrix flaviceps_aoh.tif","Callithrix flaviceps"
"62","Callithrix kuhlii_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callithrix kuhlii_aoh.tif","Callithrix kuhlii"
"63","Callospermophilus madrensis_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Callospermophilus madrensis_aoh.tif","Callospermophilus madrensis"
"64","Canis rufus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Canis rufus_aoh.tif","Canis rufus"
"65","Caracal aurata_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Caracal aurata_aoh.tif","Caracal aurata"
"66","Catagonus wagneri_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Catagonus wagneri_aoh.tif","Catagonus wagneri"
"67","Cebus kaapori_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cebus kaapori_aoh.tif","Cebus kaapori"
"68","Cephalophus dorsalis_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cephalophus dorsalis_aoh.tif","Cephalophus dorsalis"
"69","Cephalophus jentinki_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cephalophus jentinki_aoh.tif","Cephalophus jentinki"
"70","Cephalophus silvicultor_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cephalophus silvicultor_aoh.tif","Cephalophus silvicultor"
"71","Cephalophus zebra_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cephalophus zebra_aoh.tif","Cephalophus zebra"
"72","Cercocebus atys_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cercocebus atys_aoh.tif","Cercocebus atys"
"73","Cercocebus lunulatus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cercocebus lunulatus_aoh.tif","Cercocebus lunulatus"
"74","Cercocebus torquatus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cercocebus torquatus_aoh.tif","Cercocebus torquatus"
"75","Cercopithecus diana_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cercopithecus diana_aoh.tif","Cercopithecus diana"
"76","Cercopithecus erythrogaster_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cercopithecus erythrogaster_aoh.tif","Cercopithecus erythrogaster"
"77","Cercopithecus erythrotis_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cercopithecus erythrotis_aoh.tif","Cercopithecus erythrotis"
"78","Cercopithecus lowei_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cercopithecus lowei_aoh.tif","Cercopithecus lowei"
"79","Cercopithecus roloway_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cercopithecus roloway_aoh.tif","Cercopithecus roloway"
"80","Cercopithecus sclateri_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cercopithecus sclateri_aoh.tif","Cercopithecus sclateri"
"81","Chacodelphys formosa_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chacodelphys formosa_aoh.tif","Chacodelphys formosa"
"82","Chaerephon bregullae_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chaerephon bregullae_aoh.tif","Chaerephon bregullae"
"83","Chaerephon tomensis_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chaerephon tomensis_aoh.tif","Chaerephon tomensis"
"84","Chaetodipus goldmani_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chaetodipus goldmani_aoh.tif","Chaetodipus goldmani"
"85","Chaetomys subspinosus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chaetomys subspinosus_aoh.tif","Chaetomys subspinosus"
"86","Chelemys megalonyx_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chelemys megalonyx_aoh.tif","Chelemys megalonyx"
"87","Cheracebus medemi_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Cheracebus medemi_aoh.tif","Cheracebus medemi"
"88","Chilonatalus micropus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chilonatalus micropus_aoh.tif","Chilonatalus micropus"
"89","Chilonatalus tumidifrons_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chilonatalus tumidifrons_aoh.tif","Chilonatalus tumidifrons"
"90","Chinchilla chinchilla_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chinchilla chinchilla_aoh.tif","Chinchilla chinchilla"
"91","Chinchilla lanigera_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chinchilla lanigera_aoh.tif","Chinchilla lanigera"
"92","Chiroderma improvisum_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chiroderma improvisum_aoh.tif","Chiroderma improvisum"
"93","Chiropotes albinasus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chiropotes albinasus_aoh.tif","Chiropotes albinasus"
"94","Chiropotes satanas_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chiropotes satanas_aoh.tif","Chiropotes satanas"
"95","Chiropotes utahickae_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chiropotes utahickae_aoh.tif","Chiropotes utahickae"
"96","Choeroniscus periosus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Choeroniscus periosus_aoh.tif","Choeroniscus periosus"
"97","Choeronycteris mexicana_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Choeronycteris mexicana_aoh.tif","Choeronycteris mexicana"
"98","Choeropsis liberiensis_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Choeropsis liberiensis_aoh.tif","Choeropsis liberiensis"
"99","Chrysocyon brachyurus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Chrysocyon brachyurus_aoh.tif","Chrysocyon brachyurus"
"100","Colobus polykomos_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Colobus polykomos_aoh.tif","Colobus polykomos"
"101","Colobus satanas_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Colobus satanas_aoh.tif","Colobus satanas"
"102","Colobus vellerosus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Colobus vellerosus_aoh.tif","Colobus vellerosus"
"103","Corynorhinus mexicanus_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Corynorhinus mexicanus_aoh.tif","Corynorhinus mexicanus"
"104","Crocidura buettikoferi_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Crocidura buettikoferi_aoh.tif","Crocidura buettikoferi"
"105","Crocidura canariensis_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Crocidura canariensis_aoh.tif","Crocidura canariensis"
"106","Crocidura grandiceps_aoh","E:/data/AOH Data/Mammals_1km_AOH/Mammals/Crocidura grandiceps_aoh.tif","Crocidura grandiceps"
